income_desc,customers,avg_total_sales,avg_purchase_count,avg_coupon_basket_rate
250K+,11,10789.9,218.0,0.051384047174994125
175-199K,11,8548.462727272728,190.63636363636363,0.05990484213753588
150-174K,30,8394.840666666667,165.13333333333333,0.10361870759388095
125-149K,38,7912.055263157896,201.18421052631578,0.09353653099946732
100-124K,34,5927.740294117648,186.55882352941177,0.06458991300646749
75-99K,96,5822.530208333334,149.125,0.10845417016558023
200-249K,5,5726.486,114.2,0.09034372066776127
50-74K,192,5702.3546875,167.83333333333334,0.10152811193678497
Under 15K,61,5559.611475409836,209.4262295081967,0.061080479569944605
25-34K,77,4938.06987012987,197.84415584415584,0.07235420202110648
35-49K,172,4802.008546511628,172.33139534883722,0.06892716808530626
15-24K,74,4097.124324324324,164.06756756756758,0.0569121555639611
